,Formation,Well Name,Depth,GR,ILD_log10,DeltaPHI,PHIND,PE,NM_M,RELPOS,Facies
2819,A1 SH,NOLAN,2869.5,66.813,0.463,2.855,12.282,2.58,1,0.273,2
2820,A1 SH,NOLAN,2870,69.875,0.493,2.702,11.556,2.703,1,0.25,2
2821,A1 SH,NOLAN,2870.5,73.188,0.5,3.026,11.769,2.795,1,0.227,2
2822,A1 SH,NOLAN,2871,81,0.486,3.352,12.322,2.938,1,0.205,2
2823,A1 SH,NOLAN,2871.5,82.188,0.457,3.945,13.144,2.691,1,0.182,2
2824,A1 SH,NOLAN,2872,82.063,0.421,5.444,15.21,2.654,1,0.159,2
2825,A1 SH,NOLAN,2872.5,77.375,0.38,6.592,16.358,2.75,1,0.136,2
2826,A1 SH,NOLAN,2873,74.75,0.341,6.672,16.326,2.891,1,0.114,3
2827,A1 SH,NOLAN,2873.5,73.688,0.31,6.614,17.409,2.922,1,0.091,5
2828,A1 SH,NOLAN,2874,76.25,0.295,7.123,19.977,2.981,1,0.068,5
2829,A1 SH,NOLAN,2874.5,73.938,0.301,10.693,21.143,3.065,1,0.045,2
2830,A1 SH,NOLAN,2875,75.5,0.323,8.346,20.17,3.133,1,0.023,3
2831,A1 LM,NOLAN,2875.5,77.938,0.35,5.703,16.27,3.32,2,1,5
2832,A1 LM,NOLAN,2876,85.75,0.384,1.07,13.579,3.662,2,0.983,5
2833,A1 LM,NOLAN,2876.5,81.875,0.438,0.969,9.822,4.394,2,0.966,5
2834,A1 LM,NOLAN,2877,75.125,0.518,1.062,7.629,4.562,2,0.948,8
2835,A1 LM,NOLAN,2877.5,73.375,0.614,0.67,6.898,4.894,2,0.931,8
2836,A1 LM,NOLAN,2878,79.938,0.696,0.442,6.442,5.121,2,0.914,8
2837,A1 LM,NOLAN,2878.5,89.5,0.749,0.54,6.54,5.098,2,0.897,8
2838,A1 LM,NOLAN,2879,85.813,0.767,1.25,6.905,5.008,2,0.879,6
2839,A1 LM,NOLAN,2879.5,75.563,0.751,2.104,7.075,4.695,2,0.862,6
2840,A1 LM,NOLAN,2880,60.156,0.724,2.47,8.125,4.359,2,0.845,5
2841,A1 LM,NOLAN,2880.5,55.938,0.703,2.639,9.324,3.91,2,0.828,5
2842,A1 LM,NOLAN,2881,55.063,0.685,2.932,10.984,3.461,2,0.81,6
2843,A1 LM,NOLAN,2881.5,58.844,0.658,4.265,11.75,3.434,2,0.793,4
2844,A1 LM,NOLAN,2882,55.906,0.622,4.477,11.734,3.473,2,0.776,4
2845,A1 LM,NOLAN,2882.5,54.781,0.576,3.558,11.383,3.412,2,0.759,4
2846,A1 LM,NOLAN,2883,56.375,0.53,2.147,10.89,3.527,2,0.741,4
2847,A1 LM,NOLAN,2883.5,65.125,0.498,2.587,11.329,3.424,2,0.724,6
2848,A1 LM,NOLAN,2884,67.813,0.487,5.048,12.872,3.441,2,0.707,6
2849,A1 LM,NOLAN,2884.5,64.938,0.495,7.595,14.28,3.201,2,0.69,4
2850,A1 LM,NOLAN,2885,58.5,0.511,9.249,16.044,3.19,2,0.672,7
2851,A1 LM,NOLAN,2885.5,61.313,0.523,8.082,15.111,3.244,2,0.655,7
2852,A1 LM,NOLAN,2886,80.563,0.529,6.129,13.842,3.67,2,0.638,7
2853,A1 LM,NOLAN,2886.5,104.438,0.54,4.233,11.49,4.227,2,0.621,7
2854,A1 LM,NOLAN,2887,116.5,0.566,2.686,11.084,4.742,2,0.603,8
2855,A1 LM,NOLAN,2887.5,110.875,0.612,1.667,10.638,4.867,2,0.586,8
2856,A1 LM,NOLAN,2888,109.313,0.664,0.755,10.866,4.891,2,0.569,8
2857,A1 LM,NOLAN,2888.5,108.313,0.704,0.975,10.402,5.223,2,0.552,8
2858,A1 LM,NOLAN,2889,111.688,0.727,1.09,10.628,5.059,2,0.534,6
2859,A1 LM,NOLAN,2889.5,100.063,0.733,1.139,9.993,5.258,2,0.517,6
2860,A1 LM,NOLAN,2890,100.063,0.733,1.139,9.993,5.258,2,0.517,6
2861,A1 LM,NOLAN,2890.5,95,0.73,1.311,9.48,5.246,2,0.5,8
2862,A1 LM,NOLAN,2891,80.563,0.72,1.565,8.933,5.488,2,0.483,8
2863,A1 LM,NOLAN,2891.5,63.031,0.7,1.23,8.487,5.863,2,0.466,6
2864,A1 LM,NOLAN,2892,43.813,0.667,0.702,8.527,5.715,2,0.448,6
2865,A1 LM,NOLAN,2892.5,33.625,0.628,0.043,8.551,5.848,2,0.431,8
2866,A1 LM,NOLAN,2893,29.656,0.591,0.472,9.098,5.187,2,0.414,8
2867,A1 LM,NOLAN,2893.5,26.719,0.559,0.413,10.524,5.047,2,0.397,6
2868,A1 LM,NOLAN,2894,22.641,0.531,1.692,11.687,4.75,2,0.379,6
2869,A1 LM,NOLAN,2894.5,20.953,0.5,1.298,12.667,4.797,2,0.362,8
2870,A1 LM,NOLAN,2895,22.562,0.47,0.924,12.748,4.852,2,0.345,8
2871,A1 LM,NOLAN,2895.5,24.406,0.441,-0.136,12.49,4.914,2,0.328,8
2872,A1 LM,NOLAN,2896,24.875,0.418,0.299,12.006,5.07,2,0.31,8
2873,A1 LM,NOLAN,2896.5,25.078,0.407,0.616,11.64,4.996,2,0.293,8
2874,A1 LM,NOLAN,2897,24.422,0.408,0.018,12.872,4.785,2,0.276,8
2875,A1 LM,NOLAN,2897.5,27.781,0.415,-0.731,13.719,4.699,2,0.259,8
2876,A1 LM,NOLAN,2898,29.734,0.429,-0.414,14.037,4.914,2,0.241,8
2877,A1 LM,NOLAN,2898.5,39.656,0.446,0.486,12.649,4.953,2,0.224,8
2878,A1 LM,NOLAN,2899,48.75,0.462,1.505,11.727,4.492,2,0.207,8
2879,A1 LM,NOLAN,2899.5,52.406,0.486,1.367,11.133,3.815,2,0.19,8
2880,A1 LM,NOLAN,2900,50.188,0.522,1.325,10.98,3.693,2,0.172,6
2881,A1 LM,NOLAN,2900.5,54.906,0.567,1.359,10.213,3.58,2,0.155,5
2882,A1 LM,NOLAN,2901,68.063,0.625,2.214,9.7,3.863,2,0.138,8
2883,A1 LM,NOLAN,2901.5,79.813,0.702,3.406,9.289,3.871,2,0.121,6
2884,A1 LM,NOLAN,2902,88.5,0.764,5.345,9.743,4.004,2,0.103,4
2885,A1 LM,NOLAN,2902.5,85.188,0.799,5.84,10.127,3.775,2,0.086,4
2886,A1 LM,NOLAN,2903,74.188,0.795,4.279,8.905,4.148,2,0.069,4
2887,A1 LM,NOLAN,2903.5,74.188,0.795,4.279,8.905,4.148,2,0.069,4
2888,A1 LM,NOLAN,2904,55.406,0.739,2.334,6.504,4.258,2,0.052,5
2889,A1 LM,NOLAN,2904.5,47.875,0.676,0.446,4.388,4.797,2,0.034,6
2890,A1 LM,NOLAN,2905,58.219,0.667,1.984,5.926,4.113,2,0.017,8
2891,A1 LM,NOLAN,2905.5,79.25,0.671,1.088,17.369,3.49,1,1,8
2892,B1 SH,NOLAN,2906,93.125,0.664,0,27.246,3.057,1,0.971,3
2893,B1 SH,NOLAN,2906.5,94.25,0.649,1.395,27.267,2.682,1,0.941,3
2894,B1 SH,NOLAN,2907,84.875,0.612,0.808,20.627,3.076,1,0.912,3
2895,B1 SH,NOLAN,2907.5,77.125,0.568,2.991,14.587,3.299,1,0.882,3
2896,B1 SH,NOLAN,2908,70.563,0.568,4.263,13.462,3.611,1,0.853,3
2897,B1 SH,NOLAN,2908.5,61.813,0.581,5.689,12.719,3.256,1,0.824,3
2898,B1 SH,NOLAN,2909,62.188,0.581,5.641,12.67,3.354,1,0.794,2
2899,B1 SH,NOLAN,2909.5,62.563,0.569,5.791,11.446,3.25,1,0.765,2
2900,B1 SH,NOLAN,2910,74.5,0.555,5.529,11.073,3.342,1,0.735,2
2901,B1 SH,NOLAN,2910.5,84.625,0.533,5.446,13.499,3.15,1,0.706,2
2902,B1 SH,NOLAN,2911,94.25,0.525,4.813,17.55,3.029,1,0.676,3
2903,B1 SH,NOLAN,2911.5,101,0.531,6.429,21.452,2.844,1,0.647,3
2904,B1 SH,NOLAN,2912,97.75,0.54,5.759,23.636,2.75,1,0.618,3
2905,B1 SH,NOLAN,2912.5,90.063,0.551,5.239,21.519,2.699,1,0.588,3
2906,B1 SH,NOLAN,2913,79.625,0.573,3.499,17.839,2.885,1,0.559,2
2907,B1 SH,NOLAN,2913.5,73.813,0.601,4.323,12.376,3.262,1,0.529,2
2908,B1 SH,NOLAN,2914,77.438,0.636,4.629,9.483,3.418,1,0.5,2
2909,B1 SH,NOLAN,2914.5,72.625,0.681,3.464,7.522,3.373,1,0.471,2
2910,B1 SH,NOLAN,2915,69.813,0.716,2.422,7.393,3.232,1,0.441,2
2911,B1 SH,NOLAN,2915.5,65.438,0.728,1.631,7.403,3.231,1,0.412,2
2912,B1 SH,NOLAN,2916,65.875,0.719,1.158,7.386,3.356,1,0.382,2
2913,B1 SH,NOLAN,2916.5,67.25,0.693,0.916,7.483,3.398,1,0.353,2
2914,B1 SH,NOLAN,2917,67.875,0.662,0.58,8.404,3.348,1,0.324,2
2915,B1 SH,NOLAN,2917.5,75,0.623,0.896,8.381,3.348,1,0.294,2
2916,B1 SH,NOLAN,2918,80.938,0.578,1.247,9.3,3.457,1,0.265,2
2917,B1 SH,NOLAN,2918.5,86.75,0.55,2.513,11.256,3.223,1,0.235,2
2918,B1 SH,NOLAN,2919,92.125,0.528,1.859,15.28,2.879,1,0.206,2
2919,B1 SH,NOLAN,2919.5,95,0.504,2.565,16.331,2.732,1,0.176,2
2920,B1 SH,NOLAN,2920,98.625,0.498,2.98,17.43,3.008,1,0.147,2
2921,B1 SH,NOLAN,2920.5,97.5,0.518,6.042,19.691,3.213,1,0.118,2
2922,B1 SH,NOLAN,2921,92.813,0.528,5.913,24.702,2.959,1,0.088,3
2923,B1 SH,NOLAN,2921.5,72.375,0.551,5.425,24.214,2.805,1,0.059,3
2924,B1 LM,NOLAN,2922,48.281,0.596,3.01,19.402,2.906,1,0.029,8
2925,B1 LM,NOLAN,2922.5,27.25,0.631,2.861,13.545,3.561,2,1,8
2926,B1 LM,NOLAN,2923,19.875,0.675,2.844,9.412,3.807,2,0.95,8
2927,B1 LM,NOLAN,2923.5,16.906,0.766,2.21,7.409,3.805,2,0.9,8
2928,B1 LM,NOLAN,2924,18.391,0.845,1.437,6.18,4.094,2,0.85,8
2929,B1 LM,NOLAN,2924.5,21.719,0.905,1.495,5.097,4.418,2,0.8,6
2930,B1 LM,NOLAN,2925,25.75,0.961,1.218,4.592,4.758,2,0.75,6
2931,B1 LM,NOLAN,2925.5,26.438,0.992,1.619,4.192,5.156,2,0.7,8
2932,B1 LM,NOLAN,2926,28.031,0.971,1.547,4.459,5.051,2,0.65,8
2933,B1 LM,NOLAN,2926.5,28.875,0.944,0.892,4.723,5.047,2,0.6,8
2934,B1 LM,NOLAN,2927,33.031,0.928,0.322,5.977,4.406,2,0.55,8
2935,B1 LM,NOLAN,2927.5,34.469,0.919,1.558,6.645,3.904,2,0.5,8
2936,B1 LM,NOLAN,2928,36.875,0.92,2.585,6.643,3.609,2,0.45,5
2937,B1 LM,NOLAN,2928.5,38.688,0.933,1.968,6.138,3.785,2,0.4,5
2938,B1 LM,NOLAN,2929,42.625,0.941,0.845,5.014,4.312,2,0.35,5
2939,B1 LM,NOLAN,2929.5,42.031,0.938,0.339,3.713,4.598,2,0.3,5
2940,B1 LM,NOLAN,2930,37.5,0.929,0.3,2.873,4.875,2,0.25,6
2941,B1 LM,NOLAN,2930.5,33.281,0.919,0.546,2.774,4.141,2,0.2,6
2942,B1 LM,NOLAN,2931,38.594,0.893,0.7,3.841,3.826,2,0.15,8
2943,B1 LM,NOLAN,2931.5,52.688,0.847,0.82,4.99,3.291,2,0.1,8
2944,B2 SH,NOLAN,2932,63.938,0.782,1.615,6.93,3.393,2,0.05,2
2945,B2 SH,NOLAN,2932.5,74,0.721,3.299,9.299,3.18,1,1,2
2946,B2 SH,NOLAN,2933,79.813,0.676,4.893,12.49,3.08,1,0.955,2
2947,B2 SH,NOLAN,2933.5,91.25,0.653,6.112,15.422,2.992,1,0.909,2
2948,B2 SH,NOLAN,2934,98.25,0.643,5.027,15.822,3.082,1,0.864,2
2949,B2 SH,NOLAN,2934.5,98.625,0.623,3.709,13.82,3.443,1,0.818,2
2950,B2 SH,NOLAN,2935,86.5,0.594,2.686,10.4,3.684,1,0.773,2
2951,B2 SH,NOLAN,2935.5,77.313,0.567,2.959,8.614,3.77,1,0.727,2
2952,B2 SH,NOLAN,2936,71.938,0.546,4.279,8.905,3.754,1,0.682,3
2953,B2 SH,NOLAN,2936.5,75.75,0.535,5.234,12.491,3.598,1,0.636,3
2954,B2 SH,NOLAN,2937,83.563,0.535,6.867,17.206,3.342,1,0.591,3
2955,B2 SH,NOLAN,2937.5,93.813,0.539,7.596,20.333,3.08,1,0.545,3
2956,B2 SH,NOLAN,2938,99.5,0.538,7.613,18.754,3.023,1,0.5,3
2957,B2 SH,NOLAN,2938.5,90.813,0.532,5.035,16.059,3.1,1,0.455,3
2958,B2 SH,NOLAN,2939,79.813,0.534,4.116,13.315,3.309,1,0.409,3
2959,B2 SH,NOLAN,2939.5,73.313,0.535,3.499,12.809,3.316,1,0.364,2
2960,B2 SH,NOLAN,2940,67.625,0.547,3.858,10.888,3.494,1,0.318,1
2961,B2 SH,NOLAN,2940.5,68.063,0.576,3.046,9.502,3.527,1,0.273,1
2962,B2 SH,NOLAN,2941,67.625,0.597,2.454,8.337,3.574,1,0.227,1
2963,B2 SH,NOLAN,2941.5,73.688,0.597,3.569,9.908,3.209,1,0.182,1
2964,B2 SH,NOLAN,2942,79.5,0.625,2.096,20.658,2.682,1,0.136,3
2965,B2 SH,NOLAN,2942.5,82.5,0.658,-0.258,26.186,2.498,1,0.091,3
2966,B2 SH,NOLAN,2943,78.75,0.66,-3.639,26.344,2.648,1,0.045,3
2967,B2 SH,NOLAN,2943.5,60.25,0.651,-5.054,17.847,4.438,2,1,3
2968,B2 LM,NOLAN,2944,37.125,0.64,-1.233,11.731,5.324,2,0.958,8
2969,B2 LM,NOLAN,2944.5,20.75,0.624,2.222,9.936,5.52,2,0.917,8
2970,B2 LM,NOLAN,2945,14.414,0.657,1.528,11.411,5.152,2,0.875,8
2971,B2 LM,NOLAN,2945.5,14.117,0.721,-0.348,12.506,5.023,2,0.833,8
2972,B2 LM,NOLAN,2946,15.938,0.76,-0.907,10.917,4.644,2,0.792,8
2973,B2 LM,NOLAN,2946.5,16.797,0.779,-0.693,9.19,5.152,2,0.75,8
2974,B2 LM,NOLAN,2947,18.25,0.795,0.198,7.566,4.918,2,0.708,8
2975,B2 LM,NOLAN,2947.5,18.813,0.799,0.198,7.566,4.918,2,0.667,8
2976,B2 LM,NOLAN,2948,22.641,0.802,1.626,6.48,4.731,2,0.625,8
2977,B2 LM,NOLAN,2948.5,28.969,0.808,3.541,5.541,4.059,2,0.583,8
2978,B2 LM,NOLAN,2949,30.5,0.813,4.486,4.889,4.16,2,0.542,8
2979,B2 LM,NOLAN,2949.5,28.75,0.816,3.868,5.067,4.394,2,0.5,8
2980,B2 LM,NOLAN,2950,23.406,0.822,2.603,6.088,4.926,2,0.458,8
2981,B2 LM,NOLAN,2950.5,20.359,0.828,1.714,6.685,5.144,2,0.417,8
2982,B2 LM,NOLAN,2951,16.828,0.84,1.235,6.089,5.406,2,0.375,8
2983,B2 LM,NOLAN,2951.5,19.484,0.854,1.365,4.739,5.324,2,0.333,8
2984,B2 LM,NOLAN,2952,23.141,0.873,1.311,3.767,5.41,2,0.292,6
2985,B2 LM,NOLAN,2952.5,26.719,0.898,-0.026,4.372,4.977,2,0.25,6
2986,B2 LM,NOLAN,2953,26.688,0.907,-0.705,4.611,5.129,2,0.208,6
2987,B2 LM,NOLAN,2953.5,25.75,0.882,-0.482,4.144,5.184,2,0.167,6
2988,B2 LM,NOLAN,2954,32.906,0.839,0.03,3.632,5.223,2,0.125,8
2989,B3 SH,NOLAN,2954.5,55.469,0.795,1.023,4.397,4.762,2,0.083,3
2990,B3 SH,NOLAN,2955,81.375,0.741,2.505,6.675,4.004,2,0.042,3
2991,B3 SH,NOLAN,2955.5,98.563,0.688,4.586,10.013,3.711,1,1,2
2992,B3 SH,NOLAN,2956,102.375,0.643,5.74,12.424,3.527,1,0.962,2
2993,B3 SH,NOLAN,2956.5,102.188,0.601,6.552,13.809,3.486,1,0.923,2
2994,B3 SH,NOLAN,2957,101.25,0.577,5.038,13.663,2.959,1,0.885,2
2995,B3 SH,NOLAN,2957.5,102.875,0.572,3.579,13.462,2.713,1,0.846,2
2996,B3 SH,NOLAN,2958,103.25,0.572,2.959,13.643,2.947,1,0.808,2
2997,B3 SH,NOLAN,2958.5,100.688,0.577,2.847,12.73,3.074,1,0.769,2
2998,B3 SH,NOLAN,2959,95.063,0.59,2.977,12.404,3.424,1,0.731,2
2999,B3 SH,NOLAN,2959.5,89,0.607,3.223,11.621,3.369,1,0.692,2
3000,B3 SH,NOLAN,2960,89.125,0.624,2.792,11.417,3.596,1,0.654,2
3001,B3 SH,NOLAN,2960.5,83.063,0.642,2.1,10.498,3.648,1,0.615,2
3002,B3 SH,NOLAN,2961,76.563,0.652,1.783,10.18,3.51,1,0.577,2
3003,B3 SH,NOLAN,2961.5,73.25,0.654,1.856,10.254,3.242,1,0.538,2
3004,B3 SH,NOLAN,2962,79.438,0.655,2.849,11.018,3.176,1,0.5,2
3005,B3 SH,NOLAN,2962.5,89,0.653,3.64,11.692,3.17,1,0.462,2
3006,B3 SH,NOLAN,2963,85.5,0.641,3.638,12.036,3.131,1,0.423,2
3007,B3 SH,NOLAN,2963.5,80.5,0.616,3.192,11.701,3.123,1,0.385,2
3008,B3 SH,NOLAN,2964,73.375,0.584,3.028,11.425,3.065,1,0.346,2
3009,B3 SH,NOLAN,2964.5,74.75,0.546,3.842,11.783,2.984,1,0.308,2
3010,B3 SH,NOLAN,2965,69.063,0.513,4.388,12.897,2.895,1,0.269,2
3011,B3 SH,NOLAN,2965.5,68.375,0.489,5.143,13.997,2.889,1,0.231,2
3012,B3 SH,NOLAN,2966,68.313,0.473,4.295,14.406,3.09,1,0.192,2
3013,B3 SH,NOLAN,2966.5,76.813,0.462,5.523,17.231,3.201,1,0.154,2
3014,B3 SH,NOLAN,2967,89.875,0.467,6.978,20.171,3.08,1,0.115,2
3015,B3 SH,NOLAN,2967.5,92.75,0.471,8.101,20.61,3.143,1,0.077,3
3016,B3 SH,NOLAN,2968,84.875,0.467,5.888,17.256,3.512,1,0.038,3
3017,B3 LM,NOLAN,2968.5,58.375,0.462,3.841,13.151,4.285,2,1,5
3018,B3 LM,NOLAN,2969,37.969,0.467,3.483,12.337,4.543,2,0.917,5
3019,B3 LM,NOLAN,2969.5,21.266,0.48,3.206,13.2,4.551,2,0.833,8
3020,B3 LM,NOLAN,2970,17.641,0.513,1.941,14.221,4.719,2,0.75,8
3021,B3 LM,NOLAN,2970.5,15.586,0.548,1.257,13.538,4.656,2,0.667,8
3022,B3 LM,NOLAN,2971,15,0.574,1.316,12.112,4.336,2,0.583,8
3023,B3 LM,NOLAN,2971.5,13.617,0.596,1.367,11.133,4.441,2,0.5,8
3024,B3 LM,NOLAN,2972,16.25,0.624,0.521,9.831,4.547,2,0.417,8
3025,B3 LM,NOLAN,2972.5,18.781,0.626,-0.205,8.994,4.711,2,0.333,8
3026,B3 LM,NOLAN,2973,23.219,0.602,-0.073,7.641,4.582,2,0.25,8
3027,B3 LM,NOLAN,2973.5,28.328,0.565,2.51,8.281,3.936,2,0.167,8
3028,B3 LM,NOLAN,2974,45.063,0.533,4.381,11.293,3.328,2,0.083,8
3029,B4 SH,NOLAN,2974.5,65.125,0.523,5.516,14.943,2.809,1,1,2
3030,B4 SH,NOLAN,2975,83.938,0.526,3.957,16.355,2.709,1,0.958,2
3031,B4 SH,NOLAN,2975.5,82.563,0.515,2.854,14.334,2.936,1,0.917,2
3032,B4 SH,NOLAN,2976,75.5,0.493,1.497,11.491,3.275,1,0.875,2
3033,B4 SH,NOLAN,2976.5,66,0.473,1.604,9.773,3.52,1,0.833,2
3034,B4 SH,NOLAN,2977,67.313,0.473,1.75,9.236,3.4,1,0.792,2
3035,B4 SH,NOLAN,2977.5,71.5,0.507,1.75,9.236,3.4,1,0.75,2
3036,B4 SH,NOLAN,2978,81.25,0.564,2.996,10.481,3.316,1,0.708,2
3037,B4 SH,NOLAN,2978.5,90.375,0.614,4.566,11.596,3.147,1,0.667,2
3038,B4 SH,NOLAN,2979,92.813,0.646,5.413,12.898,3.184,1,0.625,2
3039,B4 SH,NOLAN,2979.5,87.125,0.66,4.698,12.294,3.109,1,0.583,2
3040,B4 SH,NOLAN,2980,77.563,0.658,2.914,10.856,3.238,1,0.542,2
3041,B4 SH,NOLAN,2980.5,73.375,0.655,1.93,8.959,3.336,1,0.5,2
3042,B4 SH,NOLAN,2981,73.438,0.663,1.241,8.036,3.371,1,0.458,2
3043,B4 SH,NOLAN,2981.5,75.25,0.664,1.355,7.922,3.289,1,0.417,2
3044,B4 SH,NOLAN,2982,76.938,0.651,1.622,8.534,3.127,1,0.375,2
3045,B4 SH,NOLAN,2982.5,80.188,0.611,1.913,9.171,3.106,1,0.333,2
3046,B4 SH,NOLAN,2983,88.5,0.564,1.97,9.456,3.275,1,0.292,2
3047,B4 SH,NOLAN,2983.5,98.5,0.526,1.98,10.032,3.277,1,0.25,2
3048,B4 SH,NOLAN,2984,107.125,0.519,4.313,13.167,3.26,1,0.208,2
3049,B4 SH,NOLAN,2984.5,108.75,0.535,6.545,20.311,2.822,1,0.167,2
3050,B4 SH,NOLAN,2985,94.563,0.549,9.423,25.587,2.816,1,0.125,3
3051,B4 LM,NOLAN,2985.5,66.813,0.567,6.296,23.489,3.065,1,0.083,5
3052,B4 LM,NOLAN,2986,38.781,0.588,1.993,17.245,4.199,1,0.042,8
3053,B4 LM,NOLAN,2986.5,21.016,0.611,-0.483,11.225,5.238,2,1,8
3054,B4 LM,NOLAN,2987,17.484,0.665,0.898,6.67,5.551,2,0.9,8
3055,B4 LM,NOLAN,2987.5,16.234,0.753,-0.429,6.483,5.336,2,0.8,8
3056,B4 LM,NOLAN,2988,16.672,0.832,-0.616,6.524,5.586,2,0.7,8
3057,B4 LM,NOLAN,2988.5,20.172,0.903,1.022,6.449,4.809,2,0.6,8
3058,B4 LM,NOLAN,2989,26.953,0.949,2.365,7.108,4.602,2,0.5,4
3059,B4 LM,NOLAN,2989.5,37.594,0.931,2.837,7.124,4.586,2,0.4,5
3060,B4 LM,NOLAN,2990,41.188,0.838,2.13,6.756,5.32,2,0.3,5
3061,B4 LM,NOLAN,2990.5,43.531,0.684,1.667,5.608,5.254,2,0.2,5
3062,B4 LM,NOLAN,2991,42.594,0.524,2.746,8.29,3.469,2,0.1,6
3063,B4 LM,NOLAN,2991.5,54.031,0.385,3.715,15.084,2.94,1,1,6
3064,B5 SH,NOLAN,2992,69.5,0.269,6.086,22.478,2.617,1,0.875,3
3065,B5 SH,NOLAN,2992.5,74.625,0.182,6.257,24.017,2.855,1,0.75,3
3066,B5 SH,NOLAN,2993,63.75,0.114,7.445,23.609,2.914,1,0.625,3
3067,B5 SH,NOLAN,2993.5,49.469,0.056,9.376,23.827,2.998,1,0.5,3
3068,B5 SH,NOLAN,2994,47.656,0.012,9.334,24.357,3.092,1,0.375,3
3069,B5 SH,NOLAN,2994.5,49.375,-0.013,8.292,23.544,3.191,1,0.25,3
3070,B5 LM,NOLAN,2995,48.031,-0.019,5.381,20.059,3.592,1,0.125,4
3071,B5 LM,NOLAN,2995.5,43.25,-0.012,3.818,17.813,4.191,2,1,8
3072,B5 LM,NOLAN,2996,35.844,0.014,2.117,17.024,4.93,2,0.972,8
3073,B5 LM,NOLAN,2996.5,28.859,0.046,1.619,17.326,5.102,2,0.944,8
3074,B5 LM,NOLAN,2997,22.609,0.077,1.674,17.955,5.156,2,0.917,8
3075,B5 LM,NOLAN,2997.5,22.188,0.098,1.674,17.955,5.156,2,0.889,8
3076,B5 LM,NOLAN,2998,22.266,0.102,0.886,17.962,5.254,2,0.861,8
3077,B5 LM,NOLAN,2998.5,30.328,0.098,0.404,18.053,5.102,2,0.833,8
3078,B5 LM,NOLAN,2999,35.313,0.1,0.103,17.524,4.805,2,0.806,8
3079,B5 LM,NOLAN,2999.5,46.313,0.118,0.657,17.166,4.613,2,0.778,8
3080,B5 LM,NOLAN,3000,56.594,0.152,0.772,17.392,5.074,2,0.75,8
3081,B5 LM,NOLAN,3000.5,64.938,0.192,0.79,16.153,6.371,2,0.722,8
3082,B5 LM,NOLAN,3001,65,0.225,1.096,13.26,8.063,2,0.694,8
