Formation,Wel_Name,Depth,GR,ILD_log10,DeltaPHI,PHIND,PE,NM_M,RELPOS,Facies
A1 LM,KIMZEY A,2941.5,47.916,0.819,15.681,13.4935,,2,0.988,8
A1 LM,KIMZEY A,2942,38.771,0.966,11.664,12.311,,2,0.976,8
A1 LM,KIMZEY A,2942.5,34.811,1.184,5.178,7.796,,2,0.964,8
A1 LM,KIMZEY A,2943,34.846,1.364,3.576,6.176,,2,0.952,8
A1 LM,KIMZEY A,2943.5,39.206,1.402,1.981,6.5885,,2,0.94,8
A1 LM,KIMZEY A,2944,42.445,1.429,2.421,6.0935,,2,0.929,8
A1 LM,KIMZEY A,2944.5,44.914,1.445,3.425,5.5915,,2,0.917,8
A1 LM,KIMZEY A,2945,41.339,1.462,4.787,5.2405,,2,0.905,8
A1 LM,KIMZEY A,2945.5,36.036,1.435,6.052,5.048,,2,0.893,8
A1 LM,KIMZEY A,2946,34.817,1.326,7.702,4.663,,2,0.881,6
A1 LM,KIMZEY A,2946.5,36.339,1.054,8.914,5.103,,2,0.869,6
A1 LM,KIMZEY A,2947,41.035,0.857,10.619,6.6165,,2,0.857,6
A1 LM,KIMZEY A,2947.5,44.711,0.791,11.499,7.5515,,2,0.845,6
A1 LM,KIMZEY A,2948,49.27,0.742,12.105,8.7895,,2,0.833,5
A1 LM,KIMZEY A,2948.5,50.791,0.721,14.415,8.7895,,2,0.821,5
A1 LM,KIMZEY A,2949,54.86,0.715,13.093,9.8355,,2,0.81,5
A1 LM,KIMZEY A,2949.5,59.829,0.721,12.104,10.55,,2,0.798,5
A1 LM,KIMZEY A,2950,62.092,0.764,11.884,10.66,,2,0.786,5
A1 LM,KIMZEY A,2950.5,65.692,0.906,11.664,10.66,,2,0.774,5
A1 LM,KIMZEY A,2951,74.874,1.042,9.188,9.312,,2,0.762,6
A1 LM,KIMZEY A,2951.5,80.549,1.108,9.354,7.139,,2,0.75,6
A1 LM,KIMZEY A,2952,86.97,1.282,7.703,5.4605,,2,0.738,6
A1 LM,KIMZEY A,2952.5,95.071,1.234,6.045,5.9875,,2,0.726,6
A1 LM,KIMZEY A,2953,116.632,1.129,7.978,8.597,,2,0.714,5
A1 LM,KIMZEY A,2953.5,133.545,0.988,8.908,9.948,,2,0.702,5
A1 LM,KIMZEY A,2954,126.67,0.879,10.686,10.269,,2,0.69,5
A1 LM,KIMZEY A,2954.5,116.684,0.911,12.789,10.5935,,2,0.679,5
A1 LM,KIMZEY A,2955,81.969,0.993,12.654,10.33,,2,0.667,8
A1 LM,KIMZEY A,2955.5,60.123,1.124,9.299,10.5775,,2,0.655,8
A1 LM,KIMZEY A,2956,43.495,1.173,5.605,10.3335,,2,0.643,8
A1 LM,KIMZEY A,2956.5,31.575,1.184,1.541,10.6055,,2,0.631,8
A1 LM,KIMZEY A,2957,27.186,1.118,0.66,10.55,,2,0.619,8
A1 LM,KIMZEY A,2957.5,25.622,1.037,-0.55,9.945,,2,0.607,8
A1 LM,KIMZEY A,2958,25.513,1.02,-0.66,9.285,,2,0.595,8
A1 LM,KIMZEY A,2958.5,28.526,1.189,-0.716,8.542,,2,0.583,8
A1 LM,KIMZEY A,2959,31.004,1.244,-0.495,7.8265,,2,0.571,6
A1 LM,KIMZEY A,2959.5,33.895,1.358,1.678,7.098,,2,0.56,6
A1 LM,KIMZEY A,2960,36.256,1.369,3.686,6.616,,2,0.548,6
A1 LM,KIMZEY A,2960.5,39.527,1.168,5.821,7.0235,,2,0.536,6
A1 LM,KIMZEY A,2961,44.079,1.079,6.492,7.414,,2,0.524,6
A1 LM,KIMZEY A,2961.5,47.828,0.979,7.043,9.1745,,2,0.512,4
A1 LM,KIMZEY A,2962,50.19,0.849,7.125,10.6465,,2,0.5,4
A1 LM,KIMZEY A,2962.5,53.066,0.748,7.923,11.5955,,2,0.488,4
A1 LM,KIMZEY A,2963,55.379,0.726,10.014,13.136,,2,0.476,4
A1 LM,KIMZEY A,2963.5,56.364,0.721,10.564,13.356,,2,0.464,4
A1 LM,KIMZEY A,2964,57.217,0.721,11.775,13.5215,,2,0.452,4
A1 LM,KIMZEY A,2964.5,58.159,0.737,11.5,14.154,,2,0.44,4
A1 LM,KIMZEY A,2965,59.694,0.753,10.674,14.732,,2,0.429,4
A1 LM,KIMZEY A,2965.5,60.91,0.802,11.829,13.2185,,2,0.417,4
A1 LM,KIMZEY A,2966,62.221,0.773,13.068,12.93,,2,0.405,4
A1 LM,KIMZEY A,2966.5,63.505,0.736,12.545,13.1365,,2,0.393,4
A1 LM,KIMZEY A,2967,63.869,0.708,11.774,13.081,,2,0.381,4
A1 LM,KIMZEY A,2967.5,64.143,0.677,11.983,12.2065,,2,0.369,4
A1 LM,KIMZEY A,2968,62.938,0.655,11.593,11.2465,,2,0.357,4
A1 LM,KIMZEY A,2968.5,61.374,0.737,10.454,11.541,,2,0.345,4
A1 LM,KIMZEY A,2969,57.433,0.862,8.389,11.9675,,2,0.333,4
A1 LM,KIMZEY A,2969.5,56.131,0.819,7.042,12.476,,2,0.321,4
A1 LM,KIMZEY A,2970,52.54,0.796,9.133,11.1555,,2,0.31,4
A1 LM,KIMZEY A,2970.5,51.223,0.89,9.684,10.55,,2,0.298,4
A1 LM,KIMZEY A,2971,50.608,0.873,9.959,9.5875,,2,0.286,4
A1 LM,KIMZEY A,2971.5,50.08,0.906,8.309,9.9175,,2,0.274,4
A1 LM,KIMZEY A,2972,49.589,0.939,6.767,10.2475,,2,0.262,4
A1 LM,KIMZEY A,2972.5,48.466,0.955,6.193,10.7305,,2,0.25,4
A1 LM,KIMZEY A,2973,47.694,0.96,7.483,10.2755,,2,0.238,4
A1 LM,KIMZEY A,2973.5,48.353,0.966,7.317,10.0825,,2,0.226,4
A1 LM,KIMZEY A,2974,49.337,0.83,4.731,11.0455,,2,0.214,4
A1 LM,KIMZEY A,2974.5,55.521,0.797,6.185,12.3225,,2,0.202,4
A1 LM,KIMZEY A,2975,58.802,0.759,8.859,12.5035,,2,0.19,4
A1 LM,KIMZEY A,2975.5,62.155,0.715,11.98,13.143,,2,0.179,4
A1 LM,KIMZEY A,2976,62.962,0.71,12.81,12.107,,2,0.167,4
A1 LM,KIMZEY A,2976.5,61.659,0.824,12.711,11.2385,,2,0.155,4
A1 LM,KIMZEY A,2977,60.723,0.917,12.544,10.275,,2,0.143,4
A1 LM,KIMZEY A,2977.5,63.254,0.988,10.014,9.725,,2,0.131,4
A1 LM,KIMZEY A,2978,67.182,1.026,10.234,8.294,,2,0.119,4
A1 LM,KIMZEY A,2978.5,70.126,1.086,8.528,7.827,,2,0.107,5
A1 LM,KIMZEY A,2979,72.706,1.178,6.822,7.194,,2,0.095,5
A1 LM,KIMZEY A,2979.5,70.559,1.222,6.245,5.9145,,2,0.083,6
A1 LM,KIMZEY A,2980,70.829,1.249,3.686,5.846,,2,0.071,6
A1 LM,KIMZEY A,2980.5,74.178,1.249,3.411,5.7635,,2,0.06,8
A1 LM,KIMZEY A,2981,75.855,1.249,3.73,6.253,,2,0.048,8
A1 LM,KIMZEY A,2981.5,74.898,1.227,2.434,7.916,,2,0.036,8
A1 LM,KIMZEY A,2982,75.331,1.178,3.659,8.5285,,2,0.024,8
A1 LM,KIMZEY A,2982.5,76.272,0.988,5.062,8.459,,2,0.012,8
B1 SH,KIMZEY A,2983,82.485,0.79,7.788,10.978,,1,1,3
B1 SH,KIMZEY A,2983.5,83.761,0.732,11.664,14.787,,1,0.96,3
B1 SH,KIMZEY A,2984,82.284,0.557,14.572,18.395,,1,0.92,3
B1 SH,KIMZEY A,2984.5,79.657,0.557,13.15,21.582,,1,0.88,3
B1 SH,KIMZEY A,2985,77.044,0.606,13.932,21.356,,1,0.84,3
B1 SH,KIMZEY A,2985.5,71.624,0.677,12.646,20.172,,1,0.8,3
B1 SH,KIMZEY A,2986,68.35,0.635,10.998,18.806,,1,0.76,3
B1 SH,KIMZEY A,2986.5,61.636,0.595,7.648,16.575,,1,0.72,3
B1 SH,KIMZEY A,2987,60.02,0.666,11.341,15.0105,,1,0.68,2
B1 SH,KIMZEY A,2987.5,57.334,0.74,15.736,13.301,,1,0.64,2
B1 SH,KIMZEY A,2988,51.604,0.82,8.804,15.172,,1,0.6,2
B1 SH,KIMZEY A,2988.5,47.143,0.888,7.212,12.611,,1,0.56,2
B1 SH,KIMZEY A,2989,44.586,0.966,4.979,9.4085,,1,0.52,2
B1 SH,KIMZEY A,2989.5,45.435,0.96,3.301,9.1195,,1,0.48,2
B1 SH,KIMZEY A,2990,44.447,0.911,3.906,8.267,,1,0.44,2
B1 SH,KIMZEY A,2990.5,44.343,0.884,5.595,7.4505,,1,0.4,2
B1 SH,KIMZEY A,2991,46.069,0.868,7.647,7.3315,,1,0.36,2
B1 SH,KIMZEY A,2991.5,48.61,0.868,6.273,8.8995,,1,0.32,2
B1 SH,KIMZEY A,2992,49.756,0.911,8.467,9.0675,,1,0.28,2
B1 SH,KIMZEY A,2992.5,49.709,0.862,9.998,8.962,,1,0.24,2
B1 SH,KIMZEY A,2993,49.673,0.795,11.664,9.505,,1,0.2,2
B1 SH,KIMZEY A,2993.5,49.554,0.704,11.38,11.298,,1,0.16,2
B1 SH,KIMZEY A,2994,46.149,0.748,10.328,12.154,,1,0.12,2
B1 SH,KIMZEY A,2994.5,43.622,0.793,8.143,12.2555,,1,0.08,2
B1 SH,KIMZEY A,2995,36.663,0.873,7.538,10.743,,1,0.04,2
B1 LM,KIMZEY A,2995.5,30.458,0.944,8.254,9.89,,2,1,5
B1 LM,KIMZEY A,2996,23.578,0.988,9.243,8.6795,,2,0.973,8
B1 LM,KIMZEY A,2996.5,15.887,1.031,6.786,8.533,,2,0.946,8
B1 LM,KIMZEY A,2997,13.839,1.075,3.081,8.0195,,2,0.919,8
B1 LM,KIMZEY A,2997.5,13.488,1.124,1.761,7.9645,,2,0.892,8
B1 LM,KIMZEY A,2998,14.872,1.353,0.715,7.8265,,2,0.865,8
B1 LM,KIMZEY A,2998.5,15.609,1.429,-0.22,8.184,,2,0.838,8
B1 LM,KIMZEY A,2999,16.399,1.293,-0.78,8.959,,2,0.811,8
B1 LM,KIMZEY A,2999.5,16.823,1.019,0.623,10.8235,,2,0.784,8
B1 LM,KIMZEY A,3000,17.222,0.672,0.44,12.696,,2,0.757,8
B1 LM,KIMZEY A,3000.5,18.517,0.672,0.357,13.3425,,2,0.73,8
B1 LM,KIMZEY A,3001,19.516,0.737,3.796,11.953,,2,0.703,8
B1 LM,KIMZEY A,3001.5,20.442,0.926,2.035,10.0275,,2,0.676,8
B1 LM,KIMZEY A,3002,24.152,1.064,0.908,8.253,,2,0.649,8
B1 LM,KIMZEY A,3002.5,26.727,1.037,2.586,6.671,,2,0.622,8
B1 LM,KIMZEY A,3003,30.452,0.982,4.457,5.5155,,2,0.595,5
B1 LM,KIMZEY A,3003.5,31.861,0.971,4.841,5.8185,,2,0.568,5
B1 LM,KIMZEY A,3004,31.738,1.138,4.401,6.3135,,2,0.541,5
B1 LM,KIMZEY A,3004.5,29.468,1.245,3.329,6.2995,,2,0.514,6
B1 LM,KIMZEY A,3005,27.071,1.331,2.036,6.066,,2,0.486,6
B1 LM,KIMZEY A,3005.5,26.809,1.385,0.881,6.2585,,2,0.459,6
B1 LM,KIMZEY A,3006,27.558,1.304,0.881,6.2585,,2,0.432,6
B1 LM,KIMZEY A,3006.5,28.052,1.304,3.246,6.011,,2,0.405,6
B1 LM,KIMZEY A,3007,26.961,1.375,3.357,6.2585,,2,0.378,6
B1 LM,KIMZEY A,3007.5,25.043,1.32,4.347,7.0015,,2,0.351,6
B1 LM,KIMZEY A,3008,24.733,1.231,5.172,8.074,,2,0.324,8
B1 LM,KIMZEY A,3008.5,25.028,1.104,5.007,9.6425,,2,0.297,8
B1 LM,KIMZEY A,3009,27.922,0.922,5.557,11.0175,,2,0.27,8
B1 LM,KIMZEY A,3009.5,35.886,0.791,5.254,11.527,,2,0.243,8
B1 LM,KIMZEY A,3010,40.984,0.871,5.558,11.293,,2,0.216,8
B1 LM,KIMZEY A,3010.5,47.502,0.976,5.227,10.5225,,2,0.189,8
B1 LM,KIMZEY A,3011,54.884,1.042,3.961,9.2845,,2,0.162,8
B1 LM,KIMZEY A,3011.5,71.764,1.097,4.071,8.1845,,2,0.135,8
B1 LM,KIMZEY A,3012,80.974,1.037,3.768,7.978,,2,0.108,8
B1 LM,KIMZEY A,3012.5,81.694,0.971,5.378,9.388,,2,0.081,8
B1 LM,KIMZEY A,3013,81.769,0.819,6.163,11.2105,,2,0.054,8
B1 LM,KIMZEY A,3013.5,77.668,0.71,6.438,13.989,,2,0.027,8
B2 SH,KIMZEY A,3014,74.262,0.573,10.729,15.9145,,1,1,3
B2 SH,KIMZEY A,3014.5,71.388,0.497,15.984,18.322,,1,0.929,3
B2 SH,KIMZEY A,3015,70.555,0.306,17.937,19.8485,,1,0.857,3
B2 SH,KIMZEY A,3015.5,74.138,0.422,14.525,22.5445,,1,0.786,3
B2 SH,KIMZEY A,3016,72.583,0.494,14.968,20.73,,1,0.714,3
B2 SH,KIMZEY A,3016.5,68.824,0.556,10.203,21.3735,,1,0.643,3
B2 SH,KIMZEY A,3017,65.282,0.628,9.904,19.271,,1,0.571,3
B2 SH,KIMZEY A,3017.5,60.532,0.71,10.729,14.0445,,1,0.5,3
B2 SH,KIMZEY A,3018,57.217,0.879,9.794,12.531,,1,0.429,3
B2 SH,KIMZEY A,3018.5,55.096,0.911,6.272,10.495,,1,0.357,3
B2 SH,KIMZEY A,3019,52.36,0.78,7.521,10.5145,,1,0.286,3
B2 SH,KIMZEY A,3019.5,51.351,0.737,9.051,10.8395,,1,0.214,2
B2 SH,KIMZEY A,3020,48.562,0.764,11.775,11.0455,,1,0.143,2
B2 SH,KIMZEY A,3020.5,43.998,0.922,10.048,12.184,,1,0.071,2
B2 LM,KIMZEY A,3021,39.7,1.046,5.943,11.4305,,2,1,5
B2 LM,KIMZEY A,3021.5,35.864,1.151,7.483,6.3135,,2,0.955,5
B2 LM,KIMZEY A,3022,28.812,1.276,5.474,4.484,,2,0.909,5
B2 LM,KIMZEY A,3022.5,24.317,1.381,6.163,3.6725,,2,0.864,8
B2 LM,KIMZEY A,3023,20.368,1.528,4.071,3.9475,,2,0.818,8
B2 LM,KIMZEY A,3023.5,18.842,1.734,3.301,3.8375,,2,0.773,8
B2 LM,KIMZEY A,3024,19.376,1.8,4.236,3.095,,2,0.727,8
B2 LM,KIMZEY A,3024.5,20.95,1.794,4.952,2.792,,2,0.682,8
B2 LM,KIMZEY A,3025,22.348,1.762,5.777,3.0945,,2,0.636,8
B2 LM,KIMZEY A,3025.5,30.047,1.625,2.925,5.0715,,2,0.591,8
B2 LM,KIMZEY A,3026,33.171,1.517,1.596,6.011,,2,0.545,8
B2 LM,KIMZEY A,3026.5,37.235,1.373,2.972,7.359,,2,0.5,8
B2 LM,KIMZEY A,3027,37.768,1.255,3.934,7.813,,2,0.455,8
B2 LM,KIMZEY A,3027.5,33.443,1.206,6.382,7.579,,2,0.409,8
B2 LM,KIMZEY A,3028,33.3,0.974,7.097,7.6065,,2,0.364,8
B2 LM,KIMZEY A,3028.5,35.489,0.846,7.592,7.469,,2,0.318,8
B2 LM,KIMZEY A,3029,37.509,0.931,7.813,6.5885,,2,0.273,8
B2 LM,KIMZEY A,3029.5,40.634,0.971,7.18,6.107,,2,0.227,5
B2 LM,KIMZEY A,3030,43.743,1.102,4.842,6.644,,2,0.182,5
B2 LM,KIMZEY A,3030.5,48.963,1.184,6.163,5.8185,,2,0.136,5
B2 LM,KIMZEY A,3031,51.045,1.249,6.878,6.011,,2,0.091,6
B2 LM,KIMZEY A,3031.5,53.929,0.987,8.797,7.5755,,2,0.045,6
B2 LM,KIMZEY A,3032,61.399,0.825,11.41,8.992,,2,0.01,5
B3 SH,KIMZEY A,3032.5,61.399,0.825,11.41,8.992,,1,1,3
B3 SH,KIMZEY A,3033,71.921,0.677,14.285,11.3765,,1,0.955,3
B3 SH,KIMZEY A,3033.5,73.821,0.464,16.695,15.1565,,1,0.909,3
B3 SH,KIMZEY A,3034,73.681,0.464,15.075,16.7675,,1,0.864,2
B3 SH,KIMZEY A,3034.5,71.35,0.579,12.033,16.2915,,1,0.818,2
B3 SH,KIMZEY A,3035,69.416,0.683,8.831,15.0205,,1,0.773,2
B3 SH,KIMZEY A,3035.5,67.261,0.764,9.978,10.678,,1,0.727,2
B3 SH,KIMZEY A,3036,64.868,0.819,11.012,9.611,,1,0.682,2
B3 SH,KIMZEY A,3036.5,62.321,0.762,12.214,9.56,,1,0.636,2
B3 SH,KIMZEY A,3037,62.074,0.753,10.6,10.312,,1,0.591,2
B3 SH,KIMZEY A,3037.5,61.119,0.748,8.198,10.605,,1,0.545,2
B3 SH,KIMZEY A,3038,61.291,0.742,7.703,10.7155,,1,0.5,2
B3 SH,KIMZEY A,3038.5,63.942,0.737,9.124,10.5,,1,0.455,2
B3 SH,KIMZEY A,3039,65.728,0.721,10.069,10.6325,,1,0.409,2
B3 SH,KIMZEY A,3039.5,67.095,0.699,10.729,11.0725,,1,0.364,2
B3 SH,KIMZEY A,3040,64.452,0.661,10.179,11.6505,,1,0.318,2
B3 SH,KIMZEY A,3040.5,62.594,0.721,10.014,12.036,,1,0.273,2
B3 SH,KIMZEY A,3041,60.872,0.791,9.959,12.3385,,1,0.227,3
B3 SH,KIMZEY A,3041.5,60.841,0.685,11.101,13.2395,,1,0.182,3
B3 SH,KIMZEY A,3042,59.067,0.525,11.829,16.0245,,1,0.136,3
B3 SH,KIMZEY A,3042.5,53.585,0.519,12.957,16.9465,,1,0.091,2
B3 SH,KIMZEY A,3043,40.166,0.869,12.325,17.1525,,1,0.045,2
B3 LM,KIMZEY A,3043.5,24.969,1.018,10.566,18.142,,2,1,8
B3 LM,KIMZEY A,3044,18.534,1.124,8.639,12.7235,,2,0.929,8
B3 LM,KIMZEY A,3044.5,16.033,0.9,11.389,11.7885,,2,0.857,8
B3 LM,KIMZEY A,3045,16.449,0.76,12.193,12.8625,,2,0.786,7
B3 LM,KIMZEY A,3045.5,19.393,0.557,15.196,15.332,,2,0.714,7
B3 LM,KIMZEY A,3046,20.225,0.41,16.892,16.96,,2,0.643,7
B3 LM,KIMZEY A,3046.5,21.419,0.404,18.267,16.3275,,2,0.571,7
B3 LM,KIMZEY A,3047,24.123,0.459,18.817,15.6675,,2,0.5,7
B3 LM,KIMZEY A,3047.5,25.921,0.628,16.699,14.3325,,2,0.429,7
B3 LM,KIMZEY A,3048,27.676,0.486,14.91,13.659,,2,0.357,7
B3 LM,KIMZEY A,3048.5,31.915,0.508,14.317,12.8555,,2,0.286,7
B3 LM,KIMZEY A,3049,34.768,0.584,12.38,11.513,,2,0.214,7
B3 LM,KIMZEY A,3049.5,41.164,0.623,10.124,10.385,,2,0.143,7
B3 LM,KIMZEY A,3050,45.517,0.693,8.886,8.803,,2,0.071,7
B4 SH,KIMZEY A,3050.5,54.149,0.699,7.648,8.652,,1,1,3
B4 SH,KIMZEY A,3051,58.366,0.688,7.373,8.7895,,1,0.944,2
B4 SH,KIMZEY A,3051.5,61.994,0.797,6.988,9.147,,1,0.889,2
B4 SH,KIMZEY A,3052,65.071,0.83,7.593,10.2755,,1,0.833,2
B4 SH,KIMZEY A,3052.5,67.312,0.753,9.133,11.4305,,1,0.778,2
B4 SH,KIMZEY A,3053,67.322,0.65,11.279,11.7335,,1,0.722,2
B4 SH,KIMZEY A,3053.5,63.599,0.612,14.085,11.4305,,1,0.667,2
B4 SH,KIMZEY A,3054,59.174,0.584,14.46,11.848,,1,0.611,2
B4 SH,KIMZEY A,3054.5,56.467,0.59,10.747,10.3515,,1,0.556,2
B4 SH,KIMZEY A,3055,55.051,0.672,8.844,9.76,,1,0.5,2
B4 SH,KIMZEY A,3055.5,55.424,0.715,9.346,10.161,,1,0.444,2
B4 SH,KIMZEY A,3056,58.234,0.808,10.133,10.8845,,1,0.389,2
B4 SH,KIMZEY A,3056.5,62.702,0.824,10.37,11.884,,1,0.333,2
B4 SH,KIMZEY A,3057,65.107,0.715,10.388,12.993,,1,0.278,2
B4 SH,KIMZEY A,3057.5,65.898,0.53,11.995,14.6215,,1,0.222,2
B4 SH,KIMZEY A,3058,63.371,0.415,16.341,17.2355,,1,0.167,2
B4 SH,KIMZEY A,3058.5,56.834,0.575,19.257,16.6575,,1,0.111,3
B4 SH,KIMZEY A,3059,44.687,0.753,13.784,14.456,,1,0.056,3
B4 LM,KIMZEY A,3059.5,31.567,0.939,7.263,11.8155,,2,1,5
B4 LM,KIMZEY A,3060,23.967,1.39,5.667,4.6905,,2,0.909,8
B4 LM,KIMZEY A,3060.5,22.997,1.642,5.282,3.287,,2,0.818,8
B4 LM,KIMZEY A,3061,26.018,1.642,4.279,4.5215,,2,0.727,8
B4 LM,KIMZEY A,3061.5,27.233,1.429,5.515,4.7795,,2,0.636,8
B4 LM,KIMZEY A,3062,29.239,1.312,6.446,5.19,,2,0.545,8
B4 LM,KIMZEY A,3062.5,31.972,1.15,6.162,6.424,,2,0.455,5
B4 LM,KIMZEY A,3063,35.527,1.016,7.978,7.882,,2,0.364,5
B4 LM,KIMZEY A,3063.5,39.981,0.923,7.208,9.477,,2,0.273,5
B4 LM,KIMZEY A,3064,47.38,0.805,6.603,10.8255,,2,0.182,5
B4 LM,KIMZEY A,3064.5,52.479,0.666,7.642,12.781,,2,0.091,5
B5 SH,KIMZEY A,3065,58.378,0.562,5.337,15.0895,,1,1,3
B5 SH,KIMZEY A,3065.5,58.378,0.562,5.337,15.0895,,1,1,3
B5 SH,KIMZEY A,3066,66.469,0.454,7.923,20.0135,,1,0.875,3
B5 SH,KIMZEY A,3066.5,69.387,0.388,10.894,22.82,,1,0.75,3
B5 SH,KIMZEY A,3067,70.043,0.38,11.279,23.3425,,1,0.625,3
B5 SH,KIMZEY A,3067.5,64.826,0.372,11.334,22.875,,1,0.5,3
B5 SH,KIMZEY A,3068,59.546,0.383,9.409,22.6825,,1,0.375,3
B5 SH,KIMZEY A,3068.5,53.408,0.41,9.959,21.3065,,1,0.25,3
B5 SH,KIMZEY A,3069,48.476,0.577,10.344,19.904,,1,0.125,3
B5 LM,KIMZEY A,3069.5,36.286,0.75,9.573,17.0975,,2,1,8
B5 LM,KIMZEY A,3070,28.317,0.887,10.178,13.879,,2,0.979,8
B5 LM,KIMZEY A,3070.5,21.848,0.974,6.438,11.678,,2,0.957,8
B5 LM,KIMZEY A,3071,20.868,1.064,4.236,11.458,,2,0.936,8
B5 LM,KIMZEY A,3071.5,23.699,1.097,5.834,11.597,,2,0.915,8
B5 LM,KIMZEY A,3072,26.536,0.998,6.878,11.843,,2,0.894,8
B5 LM,KIMZEY A,3072.5,28.892,0.909,6.131,13.5605,,2,0.872,7
B5 LM,KIMZEY A,3073,32.816,0.797,8.913,14.5665,,2,0.851,7
B5 LM,KIMZEY A,3073.5,32.489,0.646,11.829,15.8045,,2,0.83,7
B5 LM,KIMZEY A,3074,29.431,0.59,10.544,15.877,,2,0.809,8
B5 LM,KIMZEY A,3074.5,27.547,0.688,8.088,15.64,,2,0.787,8
B5 LM,KIMZEY A,3075,27.491,0.612,6.211,17.2325,,2,0.766,8
B5 LM,KIMZEY A,3075.5,28.109,0.517,6.359,18.0765,,2,0.745,8
B5 LM,KIMZEY A,3076,29.742,0.391,6.822,20.179,,2,0.723,8
B5 LM,KIMZEY A,3076.5,32.515,0.213,8.033,22.1595,,2,0.702,8
B5 LM,KIMZEY A,3077,35.876,0.127,8.783,21.7295,,2,0.681,8
B5 LM,KIMZEY A,3077.5,40.311,0.214,9.134,20.949,,2,0.66,8
