,Formation,Depth,GR,ILD_log10,DeltaPHI,PHIND,NM_M,RELPOS,Facies,Well Name,PE
61,0,2823.5,44.59,0.682,6.21,13.54,2,0.648,7,7,3.9
62,0,2824,47.48,0.676,6.21,12.89,2,0.63,4,7,3.7
63,0,2824.5,61.1,0.671,6.21,11.785,2,0.611,4,7,3.7
64,0,2825,64.82,0.68,9.1,8.97,2,0.574,4,7,4.5
65,0,2825.5,55.77,0.71,6.1,8.93,2,0.556,4,7,5.1
66,0,2826,62.22,0.744,4.3,9.215,2,0.537,4,7,5.5
67,0,2826.5,55.06,0.786,2.9,9.5,2,0.519,6,7,5.6
68,0,2827,71.02,0.839,3.1,8.89,2,0.5,6,7,5.4
69,0,2827.5,91.37,0.881,3.9,8.06,2,0.481,6,7,5.3
70,0,2828,115.42,0.911,5.2,6.875,2,0.463,6,7,5.3
71,0,2828.5,115.7,0.94,5.9,6.085,2,0.444,6,7,5.2
72,0,2829,107.11,0.972,6,6.135,2,0.426,6,7,5.6
73,0,2829.5,93.82,1.008,5.8,6.64,2,0.407,6,7,5.6
74,0,2830,61.63,1.061,3.6,6.865,2,0.37,6,7,6.1
75,0,2830.5,45.98,1.076,3.6,6.25,2,0.352,6,7,6.2
76,0,2831,32.76,1.071,3,6.225,2,0.333,6,7,5.8
77,0,2831.5,37.82,1.058,3.6,6.19,2,0.315,6,7,5.7
78,0,2832,40.73,1.038,2.3,6.375,2,0.296,6,7,5.5
79,0,2832.5,33.42,1.005,2.2,6.61,2,0.278,6,7,5.4
80,0,2833,32.08,0.968,2.2,7.355,2,0.259,6,7,5.3
81,0,2833.5,33.82,0.943,2.1,8.33,2,0.241,6,7,4.9
82,0,2834,45.57,0.924,1.1,8.84,2,0.222,6,7,4.7
83,0,2834.5,53.95,0.9,1.9,8.125,2,0.204,6,7,4.6
84,0,2835,59.42,0.875,4.3,7.845,2,0.185,6,7,4.6
85,0,2835.5,68.43,0.854,8.3,8.665,2,0.167,6,7,4.8
86,0,2836,75.88,0.849,11,10.04,2,0.148,6,7,4.6
87,0,2836.5,77.75,0.864,11.3,10.85,2,0.13,6,7,4.7
88,0,2837,80.93,0.907,9.6,9.815,2,0.111,6,7,4.6
89,0,2837.5,72.92,0.932,7.3,7.475,2,0.093,6,7,4.7
90,0,2838,65.59,0.92,5.7,5.265,2,0.074,6,7,5
91,0,2838.5,64.71,0.886,3.6,4.045,2,0.056,6,7,5.4
92,0,2839,60.79,0.829,2.9,4.36,2,0.037,6,7,5.5
93,0,2839.5,78.55,0.754,2,9.795,2,0.019,6,7,5.7
94,3,2840,107.77,0.713,1.8,19.545,1,1,3,7,4
95,3,2840.5,110.87,0.686,6,26.65,1,0.974,3,7,3.3
96,3,2841,106.33,0.665,8.6,26.94,1,0.949,3,7,2.8
97,3,2841.5,87.85,0.64,9.6,21.77,1,0.923,3,7,2.7
98,3,2842,80.96,0.601,9,15.99,1,0.897,3,7,2.9
99,3,2842.5,66.94,0.568,11.2,12.565,1,0.872,2,7,3.5
100,3,2843,61.48,0.561,12,11.69,1,0.846,2,7,4.2
101,3,2843.5,58.26,0.568,12.4,12.285,1,0.821,2,7,4.2
102,3,2844,51.31,0.585,12.7,11.735,1,0.795,2,7,3.9
103,3,2844.5,67.92,0.583,13.2,11.73,1,0.769,2,7,3.9
104,3,2845,67.77,0.566,14.1,12.475,1,0.744,2,7,3.9
105,3,2845.5,67.73,0.543,14.4,13.095,1,0.718,2,7,3.8
106,3,2846,68.85,0.516,12.1,13.35,1,0.692,2,7,3.7
107,3,2846.5,73.2,0.496,9.7,15.12,1,0.667,2,7,3.6
108,3,2847,84.46,0.486,6.1,20.48,1,0.641,3,7,3.6
109,3,2847.5,96.96,0.483,7,23.225,1,0.615,3,7,3.4
110,3,2848,95.54,0.486,9.4,21.305,1,0.59,3,7,3.5
111,3,2848.5,88.67,0.493,13.2,17.235,1,0.564,3,7,3.4
112,3,2849,88.54,0.501,13.1,16.71,1,0.538,3,7,3.5
113,3,2849.5,92.22,0.501,11.2,18.675,1,0.513,3,7,3.5
114,3,2850,89.67,0.491,4.9,20.405,1,0.487,2,7,3.3
115,3,2850.5,91.17,0.47,2.2,20.3,1,0.462,2,7,3.1
116,3,2851,83.62,0.435,5.1,17.16,1,0.436,2,7,2.8
117,3,2851.5,85,0.401,8.3,15.87,1,0.41,2,7,2.8
118,3,2852,77.7,0.371,7.5,16.85,1,0.385,2,7,2.9
119,3,2852.5,74.29,0.334,6.1,17.3,1,0.359,2,7,2.9
120,3,2853,70.21,0.307,5.4,17.57,1,0.333,2,7,2.9
121,3,2853.5,76.38,0.297,4.7,17.195,1,0.308,2,7,3
122,3,2854,76.28,0.301,4.4,16.415,1,0.282,2,7,3
123,3,2854.5,69.04,0.314,4.1,14.19,1,0.256,2,7,3.2
124,3,2855,78.11,0.338,5.8,13.25,1,0.231,2,7,3.4
125,3,2855.5,84.18,0.377,6.8,15.72,1,0.205,3,7,3.8
126,3,2856,85.85,0.428,6.6,20.045,1,0.179,3,7,3.5
127,3,2856.5,89.6,0.47,4.4,20.455,1,0.154,3,7,3.3
128,3,2857,80.61,0.509,3.6,16.78,1,0.128,3,7,3.1
129,3,2857.5,79.36,0.539,7.5,11.78,1,0.103,3,7,3.3
130,3,2858,83.05,0.548,8.1,14.545,1,0.077,3,7,3.7
131,3,2858.5,95,0.556,9.2,23.83,1,0.051,3,7,3.6
132,2,2859,85.04,0.629,6.4,26.67,2,1,5,7,3.1
133,2,2859.5,46.18,0.668,4.3,16.61,2,0.944,5,7,3.1
134,2,2860,34.53,0.703,4.9,8.22,2,0.889,5,7,3.5
135,2,2860.5,35.19,0.744,7.9,4.71,2,0.833,5,7,4.6
136,2,2861,27.85,0.803,7.8,4.24,2,0.778,8,7,4.8
137,2,2861.5,23.48,0.913,6,4.22,2,0.722,8,7,4.7
138,2,2862,20.42,1.031,5,3.785,2,0.667,8,7,4.6
139,2,2862.5,20.55,1.147,4.1,3.145,2,0.611,8,7,5.1
140,2,2863,19.99,1.292,4.7,2.195,2,0.556,8,7,5.4
141,2,2863.5,21.18,1.405,5.2,1.59,2,0.5,8,7,5.9
142,2,2864,18.63,1.452,4.7,1.755,2,0.444,8,7,6.1
143,2,2864.5,29.41,1.465,4.2,2.36,2,0.389,6,7,6
144,2,2865,43.09,1.48,3.1,3.11,2,0.333,6,7,5.8
145,2,2865.5,48.95,1.479,4.2,2.95,2,0.278,6,7,5.6
146,2,2866,45.84,1.437,4.1,3.03,2,0.222,6,7,5.6
147,2,2866.5,45.04,1.36,4.2,3.02,2,0.167,6,7,5.7
148,2,2867,42.92,1.249,3.6,3.445,2,0.111,6,7,5.7
149,2,2867.5,53.11,1.104,3.3,4.095,2,0.056,6,7,5.9
150,5,2868,67.55,0.966,4.2,5.13,1,1,3,7,5.1
151,5,2868.5,73.99,0.862,6.1,7.84,1,0.964,3,7,4.6
152,5,2869,83.09,0.806,9.4,11.2,1,0.929,3,7,3.9
153,5,2869.5,97.28,0.763,10.5,13.97,1,0.893,3,7,3.6
154,5,2870,95.16,0.714,9.6,12.96,1,0.857,2,7,3.4
155,5,2870.5,79.88,0.661,8.6,10.425,1,0.821,2,7,3.3
156,5,2871,76.38,0.602,8.9,8.785,1,0.786,2,7,3.5
157,5,2871.5,75.68,0.561,11.4,10.305,1,0.75,2,7,3.6
158,5,2872,84.59,0.537,13.4,13.745,1,0.714,2,7,3.9
159,5,2872.5,103.43,0.525,14.6,16.66,1,0.679,3,7,3.9
160,5,2873,103.41,0.522,14.7,17.625,1,0.643,3,7,3.9
161,5,2873.5,99.27,0.52,13,16.245,1,0.607,3,7,3.8
162,5,2874,92.94,0.516,12.1,14.85,1,0.571,3,7,3.7
163,5,2874.5,92.9,0.507,11.4,13.27,1,0.536,3,7,3.8
164,5,2875,80.32,0.504,11,12.48,1,0.5,3,7,3.7
165,5,2875.5,83.63,0.512,10.1,11.525,1,0.464,2,7,4
166,5,2876,67.81,0.529,9.4,11.31,1,0.429,2,7,4.1
167,5,2876.5,67.88,0.559,9.7,10.865,1,0.393,2,7,4.3
168,5,2877,64.39,0.589,8.4,10.365,1,0.357,2,7,4.4
169,5,2877.5,61.99,0.604,6.9,9.385,1,0.321,2,7,4.4
170,5,2878,62.5,0.604,5.5,8.53,1,0.286,2,7,4.3
171,5,2878.5,58.64,0.58,5.3,8.6,1,0.25,2,7,4.2
172,5,2879,64.04,0.543,5.7,9.98,1,0.214,2,7,4
173,5,2879.5,78.8,0.519,5.4,13.745,1,0.179,2,7,3.7
174,5,2880,78.88,0.502,2,21.885,1,0.143,3,7,3.7
175,5,2880.5,86.88,0.5,-3.8,33.79,1,0.107,3,7,3.2
176,5,2881,83.97,0.519,-2,37.47,1,0.071,3,7,3
177,5,2881.5,70.01,0.543,-4.3,31.57,1,0.036,3,7,2.8
178,4,2882,50.7,0.567,1.6,16.04,2,1,7,7,2.9
179,4,2882.5,30.81,0.601,1.9,5.725,2,0.938,7,7,3.6
180,4,2883,17.35,0.656,4.2,2.73,2,0.875,7,7,5
181,4,2883.5,17.55,0.747,4.7,2.925,2,0.813,8,7,5.8
182,4,2884,18.19,0.855,5.6,3.285,2,0.75,8,7,6.2
183,4,2884.5,17.08,0.982,5.4,3.99,2,0.688,8,7,6.3
184,4,2885,15.88,1.107,5.5,4.34,2,0.625,8,7,6.2
185,4,2885.5,20.38,1.17,5,4.645,2,0.563,8,7,5.9
186,4,2886,24.93,1.173,5.1,4.77,2,0.5,8,7,5.8
187,4,2886.5,28.57,1.15,4.5,4.725,2,0.438,8,7,5.8
188,4,2887,34.54,1.115,5,4.365,2,0.375,8,7,5.7
189,4,2887.5,42.34,1.064,5.3,4.4,2,0.313,8,7,5.7
190,4,2888,44.21,1.008,5.5,4.86,2,0.25,8,7,5.5
191,4,2888.5,44.15,0.943,4.1,5.47,2,0.188,6,7,5.6
192,4,2889,39.25,0.88,3.9,5.905,2,0.125,6,7,5.6
193,4,2889.5,38.37,0.812,5.7,7.13,2,0.063,6,7,5.4
194,7,2890,60.63,0.74,9.1,9.33,1,1,2,7,4.7
195,7,2890.5,83.69,0.684,12.4,11.31,1,0.967,2,7,4
196,7,2891,87.3,0.648,13.7,11.975,1,0.933,2,7,3.6
197,7,2891.5,89.07,0.619,13.7,12.065,1,0.9,2,7,3.6
198,7,2892,91.06,0.584,12.9,12.21,1,0.867,2,7,3.7
199,7,2892.5,98.37,0.559,12,12.485,1,0.833,2,7,3.7
200,7,2893,87.1,0.548,11.3,12.23,1,0.8,2,7,3.7
201,7,2893.5,83.81,0.542,10.9,11.67,1,0.767,2,7,3.5
202,7,2894,83.11,0.535,10.4,11.96,1,0.733,2,7,3.4
203,7,2894.5,85.4,0.529,11.1,13.05,1,0.7,2,7,3.3
204,7,2895,86.83,0.524,11.5,13.735,1,0.667,2,7,3.3
205,7,2895.5,80.54,0.515,11.2,13.6,1,0.633,2,7,3.3
206,7,2896,77.67,0.501,10.3,12.905,1,0.6,2,7,3.2
207,7,2896.5,74.74,0.489,8.9,12.575,1,0.567,2,7,3.3
208,7,2897,75.06,0.481,8.8,12.305,1,0.533,2,7,3.2
209,7,2897.5,76.98,0.477,8.3,12.35,1,0.5,2,7,3.2
210,7,2898,79.6,0.471,8.5,12.855,1,0.467,2,7,3.2
211,7,2898.5,92.95,0.467,8.6,14.3,1,0.433,2,7,3.3
212,7,2899,94.25,0.467,9,14.21,1,0.4,2,7,3.3
213,7,2899.5,83.12,0.467,9.1,13.64,1,0.367,2,7,3.3
214,7,2900,75.02,0.471,9.2,12.5,1,0.333,2,7,3.4
215,7,2900.5,62.61,0.48,8.7,11.92,1,0.3,2,7,3.3
216,7,2901,68.47,0.487,8.2,11.635,1,0.267,2,7,3.3
217,7,2901.5,69.58,0.484,7.3,11.265,1,0.233,2,7,3.3
218,7,2902,76.05,0.479,7.5,11.375,1,0.2,2,7,3.5
219,7,2902.5,89.53,0.471,8.4,12.285,1,0.167,2,7,3.5
220,7,2903,97.25,0.464,9.1,15.135,1,0.133,3,7,3.5
221,7,2903.5,95.12,0.474,8.1,21.93,1,0.1,3,7,3.5
222,7,2904,91.67,0.501,6.4,26.715,1,0.067,3,7,3.3
223,7,2904.5,85.15,0.521,3.7,25.875,1,0.033,3,7,3.2
224,6,2905,65.17,0.534,2.5,18.92,2,1,8,7,3.2
225,6,2905.5,32.9,0.547,2.3,12.215,2,0.917,8,7,3.7
226,6,2906,19.92,0.549,1.9,10.63,2,0.833,8,7,4.8
227,6,2906.5,14.52,0.549,2.4,11.06,2,0.75,8,7,5.2
228,6,2907,14.75,0.558,3.5,12.15,2,0.667,8,7,5.4
229,6,2907.5,15.01,0.565,3.9,13.16,2,0.583,8,7,5.2
230,6,2908,15.68,0.56,3.7,14.02,2,0.5,8,7,5.2
231,6,2908.5,16.96,0.55,3,14.255,2,0.417,8,7,5.3
232,6,2909,15.78,0.534,3.1,12.705,2,0.333,8,7,5.5
233,6,2909.5,15.71,0.507,3.9,11.095,2,0.25,8,7,5.7
234,6,2910,17.29,0.484,3.6,10.225,2,0.167,8,7,5.7
235,6,2910.5,25.4,0.476,3.5,10.81,2,0.083,8,7,5.6
236,9,2911,54.3,0.48,5.7,11.865,1,1,2,7,5.1
237,9,2911.5,77.86,0.493,8,11.795,1,0.966,2,7,4
238,9,2912,81.08,0.496,8.6,11.345,1,0.931,2,7,3.6
239,9,2912.5,64.84,0.489,6.8,10.6,1,0.897,2,7,3.3
240,9,2913,68.3,0.476,6.3,10.89,1,0.862,2,7,3.5
241,9,2913.5,62.2,0.456,6,11.805,1,0.828,2,7,3.4
242,9,2914,62.13,0.447,6.8,12.205,1,0.793,2,7,3.4
243,9,2914.5,59.9,0.447,7.5,12.495,1,0.759,2,7,3.4
244,9,2915,66.76,0.446,7.6,12.57,1,0.724,2,7,3.3
245,9,2915.5,68.75,0.441,8.4,12.535,1,0.69,2,7,3.4
246,9,2916,89.47,0.431,10,13.055,1,0.655,2,7,3.3
247,9,2916.5,92.28,0.42,12.3,14.46,1,0.621,2,7,3.3
248,9,2917,89.52,0.41,13.6,15.78,1,0.586,2,7,3.2
249,9,2917.5,72.44,0.401,11.6,15.58,1,0.552,2,7,3.3
250,9,2918,65.12,0.389,10.4,15.095,1,0.517,2,7,3.2
251,9,2918.5,61.43,0.375,7.4,14.62,1,0.483,2,7,3.2
252,9,2919,64.01,0.362,6.4,15.335,1,0.448,2,7,3
253,9,2919.5,60.03,0.354,4.5,15,1,0.414,2,7,3
254,9,2920,66.07,0.348,4.4,14.44,1,0.379,2,7,3.1
255,9,2920.5,74.64,0.344,5,13.845,1,0.345,2,7,3.2
256,9,2921,76.08,0.344,5.9,14.19,1,0.31,2,7,3.3
257,9,2921.5,77.9,0.35,6.8,14.375,1,0.276,2,7,3.3
258,9,2922,90.26,0.354,7.1,14.075,1,0.241,2,7,3.2
259,9,2922.5,100.24,0.362,6.9,13.22,1,0.207,2,7,3.2
260,9,2923,104.57,0.367,8,14.63,1,0.172,2,7,3.2
261,9,2923.5,117.83,0.382,8.6,18.955,1,0.138,2,7,3.4
262,9,2924,119.71,0.403,12.2,24.86,1,0.103,2,7,3.5
263,9,2924.5,114.49,0.436,13.7,26.24,1,0.069,2,7,3.2
264,9,2925,76.16,0.473,12.7,21.64,1,0.034,2,7,3.1
265,8,2925.5,34.5,0.509,8.2,15.465,2,1,8,7,3.4
266,8,2926,17.99,0.548,3.1,11.83,2,0.889,8,7,4.7
267,8,2926.5,16.23,0.597,1.7,9.835,2,0.778,8,7,5.9
268,8,2927,16.97,0.669,1.3,7.54,2,0.667,8,7,5.7
269,8,2927.5,18.68,0.745,2.3,5.93,2,0.556,8,7,5.7
270,8,2928,30.74,0.778,3.6,5.83,2,0.444,8,7,5.8
271,8,2928.5,46.76,0.775,3.6,6.47,2,0.333,8,7,5.6
272,8,2929,49.39,0.732,3.9,6.69,2,0.222,6,7,5.3
273,8,2929.5,44.23,0.669,5.7,7.985,2,0.111,6,7,5
274,11,2930,54.96,0.602,7.3,10.27,1,1,3,7,4.2
275,11,2930.5,68.62,0.55,9.9,13.345,1,0.941,3,7,3.6
276,11,2931,84.84,0.507,11,14.745,1,0.882,2,7,3.1
277,11,2931.5,82.8,0.462,11.9,16.365,1,0.824,2,7,3.2
278,11,2932,95.56,0.425,11,18.035,1,0.765,3,7,3.4
279,11,2932.5,106.29,0.401,8.4,21.3,1,0.706,3,7,3.2
280,11,2933,95.11,0.394,7.8,21.825,1,0.647,3,7,3.2
281,11,2933.5,96.55,0.391,8.2,20.44,1,0.588,3,7,3.1
282,11,2934,92.19,0.391,11.1,17.735,1,0.529,3,7,3.3
283,11,2934.5,100.17,0.391,11.6,18.11,1,0.471,3,7,3.2
284,11,2935,101.7,0.387,11.9,19.115,1,0.412,3,7,3.2
285,11,2935.5,100.5,0.38,13.8,18.12,1,0.353,3,7,3.2
286,11,2936,102.07,0.369,15.5,17.425,1,0.294,3,7,3.4
287,11,2936.5,109.83,0.358,15.2,18.72,1,0.235,3,7,3.7
288,11,2937,118.17,0.354,18.5,21.295,1,0.176,3,7,3.9
289,11,2937.5,119.16,0.358,17.9,24.97,1,0.118,3,7,3.8
290,10,2938,63.36,0.384,8.2,20.85,2,1,6,7,3.3
291,10,2938.5,44.37,0.398,6.1,14.47,2,0.95,6,7,3.4
292,10,2939,37.71,0.413,4.7,12.17,2,0.9,6,7,4
293,10,2939.5,37.36,0.438,4.4,12.545,2,0.85,6,7,5
294,10,2940,39.66,0.467,4.6,13.01,2,0.8,6,7,5
295,10,2940.5,52.61,0.487,5.1,12.835,2,0.75,8,7,5.3
296,10,2941,53.75,0.501,5.2,12.71,2,0.7,8,7,6
297,10,2941.5,59.61,0.504,5.5,12.8,2,0.65,8,7,6.1
298,10,2942,62.99,0.501,5.1,12.9,2,0.6,8,7,5.6
299,10,2942.5,72.39,0.496,4.6,12.795,2,0.55,8,7,5.1
300,10,2943,81.12,0.496,4.3,12.595,2,0.5,8,7,5
301,10,2944,81.04,0.515,4.7,11.41,2,0.4,8,7,4.8
302,10,2944,81.04,0.515,4.7,11.41,2,0.4,8,7,4.8
303,10,2944.5,81.04,0.538,5.3,10.045,2,0.35,8,7,5.1
304,10,2945,164.34,0.573,5.9,8.48,2,0.3,8,7,5.3
305,10,2945.5,101.5,0.6,5.9,7.805,2,0.25,8,7,5.7
306,10,2946,84.6,0.616,4.3,7.58,2,0.2,6,7,5.7
307,10,2946.5,84.6,0.616,4.3,7.58,2,0.2,6,7,5.7
308,10,2947,91.02,0.621,3.5,7.795,2,0.15,8,7,5.7
309,10,2947.5,116.04,0.605,3.8,7.73,2,0.1,4,7,5.5
310,10,2948,129.74,0.574,5,8.61,2,0.05,4,7,4.7
311,13,2948.5,130.95,0.545,6.2,12.17,1,1,3,7,4.2
312,13,2949,127.25,0.519,7.5,17.585,1,0.982,3,7,3.6
313,13,2949.5,115.33,0.484,10.4,20.065,1,0.965,3,7,3.3
314,13,2950,110.37,0.453,13.2,19.63,1,0.947,3,7,3.2
315,13,2950.5,95.97,0.433,12.9,17.945,1,0.93,3,7,3.2
316,13,2951,92.1,0.415,14.9,17.19,1,0.912,3,7,3.5
317,13,2951.5,92.33,0.401,14.7,16.855,1,0.895,3,7,3.6
318,13,2952,84.32,0.401,14.9,17.04,1,0.877,3,7,3.7
319,13,2952.5,85.93,0.405,14.1,16.725,1,0.86,3,7,3.7
320,13,2953,86.15,0.41,13.5,16.505,1,0.842,3,7,3.7
321,13,2953.5,87.94,0.418,13.6,16.735,1,0.825,3,7,3.6
322,13,2954,86.68,0.425,14.1,16.94,1,0.807,3,7,3.6
323,13,2954.5,85.31,0.431,14.7,17.845,1,0.789,3,7,3.5
324,13,2955,86.99,0.441,13.9,18.455,1,0.772,3,7,3.5
325,13,2955.5,88.41,0.456,13.4,18.05,1,0.754,3,7,3.6
326,13,2956,85.73,0.471,13.6,15.635,1,0.737,3,7,3.8
327,13,2956.5,79.97,0.48,13.1,13.72,1,0.719,3,7,4.1
328,13,2957,72.32,0.489,13.4,13.05,1,0.702,3,7,4.3
329,13,2957.5,69.7,0.496,13,13.785,1,0.684,3,7,4.2
330,13,2958,78.44,0.504,13.5,13.815,1,0.667,3,7,4.1
331,13,2958.5,82.19,0.509,12.2,14.275,1,0.649,3,7,4
332,13,2959,85.45,0.509,12.6,15.215,1,0.632,3,7,4
333,13,2959.5,92.63,0.508,13.7,16.465,1,0.614,3,7,3.9
334,13,2960,88.92,0.507,14.6,16.885,1,0.596,3,7,3.9
335,13,2960.5,90.45,0.505,13.7,16.3,1,0.579,3,7,3.8
336,13,2961,87.42,0.504,12.7,15.225,1,0.561,3,7,4
337,13,2961.5,84.11,0.507,12.5,15.12,1,0.544,3,7,4
338,13,2962,87.26,0.509,12,15.145,1,0.526,3,7,3.9
339,13,2962.5,84.87,0.511,12,14.82,1,0.509,3,7,3.9
340,13,2963,84.88,0.507,11.3,14.335,1,0.491,3,7,3.9
341,13,2963.5,88.37,0.493,10.5,15.695,1,0.474,3,7,4.2
342,13,2964,90.68,0.48,11.1,18.01,1,0.456,3,7,4.2
343,13,2964.5,94.56,0.471,12.3,20.75,1,0.439,3,7,3.9
344,13,2965,96.31,0.462,15,22.025,1,0.421,3,7,3.6
345,13,2965.5,99.42,0.456,17.2,22.97,1,0.404,3,7,3.4
346,13,2966,97.55,0.453,16.7,22.12,1,0.386,3,7,3.4
347,13,2966.5,98.51,0.45,15.3,20.35,1,0.368,3,7,3.6
348,13,2967,86.18,0.452,13.5,17.53,1,0.351,2,7,3.7
349,13,2967.5,89.44,0.461,12.2,16.31,1,0.333,2,7,3.8
350,13,2968,89.13,0.471,11.7,15.875,1,0.316,2,7,3.9
351,13,2968.5,87.64,0.484,12.1,15.865,1,0.298,2,7,3.8
352,13,2969,84.34,0.502,12.3,15.685,1,0.281,2,7,3.9
353,13,2969.5,83.26,0.517,12.3,15.23,1,0.263,2,7,3.8
354,13,2970,84.8,0.525,12.5,14.78,1,0.246,2,7,4
355,13,2970.5,84.02,0.531,10.8,15.47,1,0.228,2,7,3.9
356,13,2971,90.99,0.535,10.9,15.235,1,0.211,3,7,3.9
357,13,2971.5,83.72,0.537,11.4,14.25,1,0.193,3,7,3.9
358,13,2972,81.44,0.538,10.9,14.015,1,0.175,3,7,4
359,13,2972.5,80.51,0.538,10.1,14.465,1,0.158,3,7,3.9
360,13,2973,83.93,0.539,10,15.11,1,0.14,3,7,3.8
361,13,2973.5,83.36,0.535,10.1,15.73,1,0.123,3,7,3.7
362,13,2974,86.69,0.529,10.9,15.115,1,0.105,3,7,3.8
363,13,2974.5,86.71,0.521,10.6,13.995,1,0.088,3,7,3.7
364,13,2975,84.91,0.515,11,14.065,1,0.07,3,7,3.9
365,13,2975.5,84.75,0.516,13.6,20,1,0.053,3,7,3.7
366,13,2976,87.88,0.543,16.2,23.385,1,0.035,3,7,3.6
367,13,2976.5,86.06,0.584,15,20.82,1,0.018,3,7,3.3
368,12,2977,56.43,0.627,10.4,12.115,2,1,5,7,3.7
369,12,2977.5,32.69,0.667,6.2,6.42,2,0.99,5,7,4.4
